Модель,Период,Действие
Lunch & Routine,90 дней,"Неделя 11: Сезонные меню (осень: рагу, зима: супы-горячее, весна: салаты). Обновление каждый месяц"
Lunch & Routine,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: 150-180 чеков/день, средний чек 500р, маржа 50-55%, окупаемость 14-20 месяцев"
Lunch & Routine,90 дней,"Выход на стабильность: CAC ~50-100р (за счёт корпоративных контрактов), LTV 1200-2000р"
Delivery Engine,30 дней,"Неделя 1-2: Стандартизация меню для доставки (только позиции, которые хорошо переносят: паста, пиццы, буррито, боулы). Исключить салаты и нежные блюда"
Delivery Engine,30 дней,"Неделя 2: Интеграция с Яндекс.Едой, Uber Eats (базовая интеграция, загрузка меню, фото). Целевой KPI: 50+ первых заказов"
Delivery Engine,30 дней,Неделя 3: Тестирование упаковки (заказ у себя + анализ качества при доставке). Оптимизация упаковки для сохранения температуры и вкуса
Delivery Engine,30 дней,"Неделя 4: Первые скидки (новому клиенту -20% на первый заказ через купон). Целевой KPI: 100 заказов, retention rate >40%"
Delivery Engine,60 дней,Неделя 5-6: A/B тестирование меню (разные позиции для разных городов/возрастов). Целевой KPI: средний чек выростет на 10-15%
Delivery Engine,60 дней,Неделя 7: Добавить 2-й или 3-й бренд в одну кухню (макароны + пицца + боулы в одном меню = масштаб). Цель: 400+ чеков/день
Delivery Engine,60 дней,Неделя 8: Оптимизация доставки (интеграция собственных курьеров или логистического партнёра). Целевой KPI: время доставки <40 минут в 90% заказов
Delivery Engine,60 дней,"Метрика на 60 дн: 300-400 чеков/день, средний чек 650р, маржинальная прибыль 1-1.5млн/месяц (при 25% маржи чистой)"
Delivery Engine,90 дней,"Неделя 9-10: SEO в 2GIS (фото, отзывы, время доставки, бонусные предложения). Целевой KPI: топ-3 в категории"
Delivery Engine,90 дней,"Неделя 11: Программа лояльности (5% кэшбэка за каждый заказ, автоматическое зачисление). Целевой KPI: 15% повторных заказов через 2 недели"
Delivery Engine,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: 400+ чеков/день, маржинальная прибыль 1.8-2млн/месяц, окупаемость 8-14 месяцев"
Delivery Engine,90 дней,"Выход на стабильность: CAC ~80-120р (платформа как витрина), LTV 1500-2500р"
Membership & Loyalty,30 дней,"Неделя 1-2: Дизайн программы членства (Bronze -500р/месяц, Silver -1500р/месяц с привилегиями). Развитие ценности каждого уровня (доп. 15% скидка, скидка на напитки, ранний доступ к новым позициям)"
Membership & Loyalty,30 дней,"Неделя 2: Обучение персонала на 'продажу членства' (почему стоит вступить, какие выгоды). Тест на знание программы"
Membership & Loyalty,30 дней,Неделя 3: Запуск по софт-опену (первые 50 членов = скидка 30% на членство за 3 месяца). Целевой KPI: 50 членов на 3-й неделе
Membership & Loyalty,30 дней,"Неделя 4: CRM-система (Bitrix, RestoCRM) для отслеживания членства и автоматизации коммуникаций. Первые email-кампании о привилегиях"
Membership & Loyalty,60 дней,"Неделя 5-6: Реф-программа (приведи друга → +100р на счёт). Целевой KPI: 100 членов через 6 недель, из них 30% через рефералы"
Membership & Loyalty,60 дней,"Неделя 7: Birthday rewards (день рождения = +200р на счёт, отправить SMS). Целевой KPI: +20% retention в месяц рождения"
Membership & Loyalty,60 дней,"Неделя 8: Специальные события для членов (дегустация нового вина, ужин с шефом). Цель: укрепить связь и создать FOMO"
Membership & Loyalty,60 дней,"Метрика на 60 дн: 150-200 членов, 50% Active (используют привилегии 2+ раза в месяц), средний дополнительный чек 1500р"
Membership & Loyalty,90 дней,Неделя 9-10: Tier upgrade путь (Bronze → Silver → Gold при определённом количестве визитов/расходов). Целевой KPI: 20-30% членов переходят на Silver
Membership & Loyalty,90 дней,"Неделя 11: VIP программа (топ 5% членов получают персональное меню, персональный официант, скидка 15%). Прогноз: LTV этих клиентов +300%"
Membership & Loyalty,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: 200+ членов, маржинальная прибыль 0.6млн/месяц (подписка), 0.4млн (доп. заказы), окупаемость 12-18 месяцев"
Membership & Loyalty,90 дней,"Выход на стабильность: CAC ~100-150р (реферальная петля), LTV 5000-10000р (членство + доп. заказы)"
Experience Monetization,30 дней,"Неделя 1-2: Дизайн дегустационного меню (6-8 блюд, 3 вина на пару). Фиксированный ценник 5-8к за персону. Тестирование с друзьями, инвесторами"
Experience Monetization,30 дней,"Неделя 2: Фотосессия с профессиональным фотографом (каждое блюдо, сервировка, атмосфера). Загрузка в Instagram, гайды (Мишлен-подобные)"
Experience Monetization,30 дней,"Неделя 3: PR-кампания (напиши в местные гайды, рестораны-блоги, инфлюэнсеры). Целевой KPI: 10-15 упоминаний в социальных сетях"
Experience Monetization,30 дней,"Неделя 4: Система бронирования (Bookly, Calendly) с предоплатой 30%. Целевой KPI: первые 5-10 бронирований на месяц вперёд"
Experience Monetization,60 дней,"Неделя 5-6: Wine-карта оптимизация (добавить 50-100 позиций, описания, паринги). Целевой KPI: 60-70% гостей берут вино (средний доход +1500р)"
Experience Monetization,60 дней,Неделя 7: Партнёрства с отелями и турагентствами (гостей рекомендуем как must-visit место). Целевой KPI: 30-40% туристов от партнёров
Experience Monetization,60 дней,"Неделя 8: Лист ожидания (VIP-члены получают早期доступ к бронированию). Целевой KPI: 20 VIP-членов, они забронировали все места на месяц"
Experience Monetization,60 дней,"Метрика на 60 дн: 3-4 стола в неделю забронировано (12-16 гостей), средний чек 4500р, доход 0.75млн/месяц"
Experience Monetization,90 дней,Неделя 9-10: Сезонное меню (обновлять каждые 6-8 недель). Новая PR-кампания для каждого меню. Целевой KPI: +20% покупателей при смене меню
Experience Monetization,90 дней,"Неделя 11: Специальные события (Chef's table, Wine tasting, Collaborative dinner с соседним шефом). Целевой KPI: 1-2 события в месяц, полная посадка"
Experience Monetization,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: 12-16 гостей/неделю (пт-сб-вс), средний чек 4500р, маржинальная прибыль 0.75млн/месяц, окупаемость 20-36 месяцев"
Experience Monetization,90 дней,"Выход на стабильность: CAC ~200-300р (PR, гайды), LTV 8000-15000р (2-3 визита + рекомендации)"
Corporate/B2B,30 дней,"Неделя 1-2: Дизайн корпоративного ланч-меню (базовое 400р, премиум 500р, меню меняется каждый день). Лист на месяц готов"
Corporate/B2B,30 дней,"Неделя 2: Питч-презентация (5-10 ближайших офисов). Формат: 30 мин презентация, free lunch для офиса (+100 человек может попробовать). Целевой KPI: 2-3 офиса заинтересованы"
Corporate/B2B,30 дней,"Неделя 3: Демо для первого клиента (50-100 человек). Сбор feedback, доработка меню."
Corporate/B2B,30 дней,"Неделя 4: Подписание SLA контракта с первым клиентом (100-150 обедов/день, 21 раб.день = 2.1-3.15млн выручки). Целевой KPI: 1 контракт"
Corporate/B2B,60 дней,Неделя 5-6: Внедрение карт питания (цифровые или пластиковые). Интеграция с HR-системой клиента для учёта лимитов. Целевой KPI: 95%+ сотрудников используют карты
Corporate/B2B,60 дней,Неделя 7: Расширение клиентской базы (визит в 10-15 новых офисов). Целевой KPI: 1-2 новых контракта
Corporate/B2B,60 дней,"Неделя 8: SMS-рассылки меню дня (за 24 часа, напоминание утром). Целевой KPI: +15% конверсия за счёт рассылок"
Corporate/B2B,60 дней,"Метрика на 60 дн: 2-3 корпоративных контракта, 250-300 обедов/день, маржинальная прибыль 0.8-1.2млн/месяц"
Corporate/B2B,90 дней,"Неделя 9-10: Добавить Premium меню (рыба, дичь, гарниры высокого уровня +100р сверху). Целевой KPI: 20-30% клиентов переходят на премиум"
Corporate/B2B,90 дней,Неделя 11: Партнёрства с HR-консультантами (рекомендуют нас как социальный пакет). Целевой KPI: +50% новых клиентов через партнёров
Corporate/B2B,90 дней,"Неделя 12: Анализ юнит-экономики. Целевые метрики: 4-5 корпоративных контрактов, 350-450 обедов/день, маржинальная прибыль 1.4-1.8млн/месяц, окупаемость 6-12 месяцев"
Corporate/B2B,90 дней,"Выход на стабильность: CAC ~100-150р (из 1 контракта = масштаб), LTV 30000-100000р (годовой контракт)"
